Date,Buy/sell Price,Trade type,Profit/Loss,Portfolio Value
2014-01-09 00:00:00,19.161428451538086,buy,no_profit_during_buy,100000
2014-02-18 00:00:00,19.499643325805664,sell,1765.0817376322987,101765.0817376323
2014-02-21 00:00:00,18.758928298950195,buy,no_profit_during_buy,101765.0817376323
2014-05-02 00:00:00,21.163570404052734,sell,13044.913679274881,114809.99541690717
2014-05-09 00:00:00,20.91214370727539,buy,no_profit_during_buy,114809.99541690717
2014-05-29 00:00:00,22.692142486572266,sell,9772.39132218074,124582.38673908792
2014-06-24 00:00:00,22.56999969482422,buy,no_profit_during_buy,124582.38673908792
2014-08-22 00:00:00,25.329999923706055,sell,15234.710702870749,139817.09744195867
2014-09-09 00:00:00,24.497499465942383,buy,no_profit_during_buy,139817.09744195867
2014-11-05 00:00:00,27.21500015258789,sell,15509.871072006097,155326.96851396476
2014-12-11 00:00:00,27.905000686645508,buy,no_profit_during_buy,155326.96851396476
2015-02-17 00:00:00,31.957500457763672,sell,22557.336995607468,177884.30550957224
2015-03-13 00:00:00,30.897499084472656,buy,no_profit_during_buy,177884.30550957224
2016-03-30 00:00:00,27.389999389648438,sell,-20193.516167216083,157690.78934235615
2016-04-22 00:00:00,26.420000076293945,buy,no_profit_during_buy,157690.78934235615
2016-07-18 00:00:00,24.957500457763672,sell,-8729.096086031657,148961.69325632448
2016-07-26 00:00:00,24.167499542236328,buy,no_profit_during_buy,148961.69325632448
2016-08-15 00:00:00,27.3700008392334,sell,19739.320363802737,168701.01362012723
2016-08-26 00:00:00,26.735000610351562,buy,no_profit_during_buy,168701.01362012723
2016-12-21 00:00:00,29.264999389648438,sell,15964.591314047282,184665.6049341745
2017-04-18 00:00:00,35.29999923706055,buy,no_profit_during_buy,184665.6049341745
2017-05-09 00:00:00,38.497501373291016,sell,16727.158046094155,201392.76298026866
2017-06-12 00:00:00,36.35499954223633,buy,no_profit_during_buy,201392.76298026866
2017-07-26 00:00:00,38.3650016784668,sell,11134.641422327899,212527.40440259656
2017-09-13 00:00:00,39.912498474121094,buy,no_profit_during_buy,212527.40440259656
2017-11-08 00:00:00,44.060001373291016,sell,22084.76190695897,234612.16630955553
2017-11-29 00:00:00,42.369998931884766,buy,no_profit_during_buy,234612.16630955553
2018-05-10 00:00:00,47.5099983215332,sell,28461.32693026174,263073.49323981727
2018-06-15 00:00:00,47.209999084472656,buy,no_profit_during_buy,263073.49323981727
2018-08-16 00:00:00,53.33000183105469,sell,34103.167388328606,297176.66062814585
2018-10-11 00:00:00,53.61249923706055,buy,no_profit_during_buy,297176.66062814585
2019-04-15 00:00:00,49.807498931884766,sell,-21091.2996124523,276085.3610156936
2019-05-13 00:00:00,46.43000030517578,buy,no_profit_during_buy,276085.3610156936
2019-10-28 00:00:00,62.26250076293945,sell,94144.3371943193,370229.69821001287
2020-02-24 00:00:00,74.54499816894531,buy,no_profit_during_buy,370229.69821001287
2020-08-31 00:00:00,129.0399932861328,sell,270650.82958976354,640880.5277997764
2020-09-18 00:00:00,106.83999633789062,buy,no_profit_during_buy,640880.5277997764
2021-07-06 00:00:00,142.02000427246094,sell,211027.54423356132,851908.0720333378
2021-08-10 00:00:00,145.60000610351562,buy,no_profit_during_buy,851908.0720333378
2022-04-01 00:00:00,174.30999755859375,sell,167982.64040731138,1019890.7124406492
2022-04-06 00:00:00,171.8300018310547,buy,no_profit_during_buy,1019890.7124406492
2022-08-15 00:00:00,173.19000244140625,sell,8072.234048946463,1027962.9464895956
